country,region,grape,producer,vintage,alcohol,price,visible_depth,color,sparkling,fortified,smells,smell_intensity,flavors,flavor_intensity,acidity,tannins,body,dryness,length,warmth,rating
Argentina,Mendoza,Malbec,Alamos,2023,0.135,10.0,1.0,deep ruby,0,0,black pepper|caramel|currant|oak|plum|steak sauce,0.8,black pepper|cherry|lemon grass|smoke,0.8,0.6,0.6,1.0,1.0,0.8,0.8,1
Argentina,Salta,Torrontes,Torino Cuma,2023,0.135,11.0,0.2,pale straw,0,0,citrus|floral|honeysuckle|manderine|orange|wet stone,0.8,candle smoke|lemon|orange|sour blueberry,0.8,0.8,0.0,0.4,0.8,0.6,0.4,2
Australia,South Eastern Australia,Shiraz,19 Crimes,NV,0.135,9.5,1.0,deep ruby,0,0,cherry|dates|oak|tootsie pop|vanilla|wet earth,0.7,grape|plum|steak,0.7,0.6,0.6,1.0,0.8,0.8,0.8,0
Australia,Alpine Valleys,Riesling,Frisk,NV,0.1,10.0,0.2,pale straw,1,0,floral|lime sorbet|mineral|nectarine|peach,0.6,citrus|honeydew|lime|nectarine|peach,0.6,1.0,0.0,0.2,0.4,0.6,0.2,0
Australia,Yarra Valley,Pinot Noir,Innocent Bystander,2022,0.14,25.0,0.6,ruby,0,0,apple|cherry|chocolate|earth|tomato,0.7,crab apple|red cherry|spice,0.7,0.8,0.4,0.6,1.0,0.8,0.6,1
Australia,McLaren Vale,Red Blend,Paxton AAA,2022,0.143,20.0,0.8,ruby,0,0,carrot cake|cherry|herb|plum|steak|tomato,0.7,apple skin|marinade|plum,0.7,0.6,0.6,0.8,1.0,0.8,0.8,2
Australia,South Eastern Australia,Chardonnay,Yellow Tail,2024,0.13,6.0,0.4,golden,0,0,dust|lemon meringue|rubber chips,0.6,banana pudding|lemon|spice|vanilla,0.6,0.6,0.0,0.6,0.8,0.6,0.6,0
Austria,Kamptal,Riesling,Brundlmayer Terrassen,2023,0.13,30.0,0.2,pale straw,0,0,apple|cheese|citrus|mineral|wet stone,0.8,apple|cheese rind|lemon|mineral|squash,0.8,1.0,0.0,0.4,1.0,0.8,0.4,2
Canada,Niagara Peninsula,Cabernet Franc,Inniskillen Estate,2022,0.095,90.0,0.2,amber,0,0,nectarine|honey|cranberry|strawberry candy,0.8,honey|lemon|nectarine|cranberry|strawberry syrup|malt,0.8,0.8,0.0,0.8,1.0,1.0,0.2,2
Chile,Central Valley,Carmenere,Concha Y Toro Casillero Del Diablo Reserva,2023,0.135,8.0,0.8,ruby,0,0,bell pepper|charred meat|plum|red pepper flakes,0.7,chocolate|green apple|pepper|smoke,0.7,0.6,0.6,0.8,1.0,0.6,0.6,1
Chile,Central Valley,Sauvignon Blanc,Veramonte,2022,0.135,10.0,0.2,pale straw,0,0,apple|citrus|floral|wet stone,0.7,grape|green apple|lemon|lime,0.7,1.0,0.0,0.4,1.0,0.6,0.4,1
England,,White Blend,Wiston Estate South Down Brut,,0.120,40.0,0.2,pale straw,1,0,mineral|green apple|pineapple|salt,0.4,sour|pokey|green apple|citrus rind|mineral,0.8,1.0,0.0,0.4,1.0,0.8,0.2,2
France,Bordeaux,Red Blend,Chateau D'Armailhac,2021,0.13,80.0,1.0,deep ruby,0,0,apple|blackcurrant|cedar|cigar box|meat|roast bell pepper|smoke,0.9,apple|blackcurrant|cedar|cigar box|meat|roast bell pepper|smoke,0.9,0.6,0.8,1.0,1.0,1.0,0.8,2
France,Bordeaux,White Blend,Chateau Gravyville-Lacoste,2023,0.12,17.0,0.2,pale straw,0,0,bell pepper|cheese|citrus|green apple|lemon grass|sugar cookie,0.7,cheese rind|coca-cola|honey|lemon|lime|wine,0.7,1.0,0.0,0.4,1.0,0.8,0.4,2
France,Bordeaux,Red Blend,Chateau Haut-Brisson Grand Cru,2021,0.14,28.0,1.0,deep ruby,0,0,apple|black pepper|blackcurrant|meat|oak|plum|tabacco,0.8,apple|black pepper|blackcurrant|meat|oak|plum|tabacco,0.8,0.6,0.8,1.0,1.0,1.0,0.8,1
France,Alsace,Pinot Gris,Hugel,2022,0.145,25.0,0.4,golden straw,0,0,airy citrus|lemon|pear|wood,0.6,apple|citrus|pear,0.6,0.6,0.0,0.6,0.8,0.6,0.6,1
France,Burgundy,Pinot Noir,Joseph Drouhin,2022,0.135,26.0,0.6,ruby,0,0,cranberry|disinfectant|leather|strawberry,0.7,red cherry|sour plum,0.7,0.8,0.4,0.6,1.0,0.8,0.6,1
France,Burgundy,Chardonnay,Louis Jadot,2022,0.125,24.0,0.2,pale straw,0,0,alfredo|carrot|cheese|orange|pear|wet stone,0.7,butter|cheese rind|green apple|lemon|salt,0.7,1.0,0.0,0.6,1.0,0.8,0.4,2
France,Burgundy,Pinot Noir,Louis Latour,2022,0.13,35.0,0.6,ruby,0,0,blackberry|butter|lemon|michelada|salt|string cheese,0.7,chalk|chocolate|sour strawberry,0.7,0.8,0.4,0.6,1.0,0.8,0.6,1
France,Champagne,White Blend,Moet Et Chandon Imperial Brut,NV,0.125,80.0,0.2,pale straw,1,0,burnt date|flour|tamarind candy|toast,0.8,brioche|malt date|sweet,0.8,1.0,0.0,0.6,1.0,1.0,0.6,-1
